DISTRICT,ORG CODE,UG,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,13,14,TOTAL
Plymouth,02390000,0,175,658,721,682,750,760,698,675,710,688,821,628,603,564,0,0,"9,133"
Plympton,02400000,0,0,30,30,34,36,45,42,39,0,0,0,0,0,0,0,0,256
Prospect Hill Academy Charter,04870000,0,0,38,51,80,101,72,77,66,49,40,28,22,14,14,0,0,652
Provincetown,02420000,0,19,13,17,10,18,14,23,11,35,27,24,22,42,21,0,0,296
Quabbin,07530000,0,79,190,215,215,240,247,263,259,295,257,300,234,243,184,0,0,"3,221"
Quaboag Regional,07780000,0,85,100,120,102,114,106,131,139,139,152,113,100,77,70,0,0,"1,548"
Quincy,02430000,0,210,552,673,654,609,636,646,673,702,687,749,674,664,548,0,0,"8,677"
Ralph C Mahar,07550000,0,0,0,0,0,0,0,0,0,143,136,134,118,94,95,0,0,720
Randolph,02440000,0,0,237,287,305,317,335,350,400,386,361,305,280,254,217,0,0,"4,034"
Reading,02460000,0,47,308,368,307,306,353,353,368,328,337,328,306,303,273,0,0,"4,285"
Revere,02480000,0,204,410,431,427,441,520,477,498,497,511,455,383,329,261,0,0,"5,844"
Richmond,02490000,0,0,13,12,16,25,22,17,25,29,18,0,0,0,0,0,0,177
Rising Tide Charter,04830000,0,0,0,0,0,0,0,56,56,58,45,0,0,0,0,0,0,215
River Valley Charter,04820000,0,0,0,31,30,36,31,25,40,31,0,0,0,0,0,0,0,224
Robert M. Hughes Academy Charter,04510000,0,0,20,21,24,21,21,21,11,0,0,0,0,0,0,0,0,139
Rochester,02500000,0,11,67,65,71,73,62,74,86,0,0,0,0,0,0,0,0,509
Rockland,02510000,0,73,231,210,222,237,212,232,243,198,240,209,211,193,171,0,0,"2,882"
Rockport,02520000,0,0,68,69,52,82,101,90,85,113,94,86,58,74,71,0,0,"1,043"
Rowe,02530000,0,12,4,9,4,6,7,7,6,0,0,0,0,0,0,0,0,55
Roxbury Charter,04220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roxbury Preparatory Charter,04840000,0,0,0,0,0,0,0,0,66,48,43,0,0,0,0,0,0,157
Sabis International Charter,04410000,0,0,91,73,147,157,115,117,124,88,89,80,48,60,28,0,0,"1,217"
Salem,02580000,0,163,354,435,337,427,440,420,419,427,388,398,278,293,251,0,0,"5,030"
Sandwich,02610000,0,75,293,331,318,309,323,341,348,362,340,312,290,259,198,0,0,"4,099"
Saugus,02620000,0,63,214,263,290,267,259,298,257,262,289,263,225,202,185,0,0,"3,337"
Savoy,02630000,0,13,10,4,7,4,8,9,0,0,0,0,0,0,0,0,0,55
Scituate,02640000,0,0,196,260,255,242,270,246,279,231,255,225,155,196,195,0,0,"3,005"
Seekonk,02650000,0,21,145,167,170,166,173,176,213,205,214,161,175,153,142,0,0,"2,281"
Seven Hills Charter,04860000,0,0,70,74,74,76,55,85,83,75,63,0,0,0,0,0,0,655
Sharon,02660000,0,54,222,296,248,271,260,263,280,279,283,290,272,259,235,0,0,"3,512"
Shawsheen Valley Voc Tech,08710000,0,0,0,0,0,0,0,0,0,0,0,297,330,270,264,0,0,"1,161"
Sherborn,02690000,0,6,70,63,79,64,90,86,0,0,0,0,0,0,0,0,0,458
Shirley,02700000,0,58,90,79,78,73,73,86,80,71,61,0,0,0,0,0,0,749
Shrewsbury,02710000,0,131,384,474,444,469,424,419,427,400,363,324,294,283,229,5,0,"5,070"
Shutesbury,02720000,0,27,18,26,24,15,27,31,34,0,0,0,0,0,0,0,0,202
