DISTRICT,ORG CODE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL
Sunderland,02890000,18,18,31,22,31,34,23,28,0,0,0,0,0,0,0,205
Sutton,02900000,37,99,92,106,109,132,127,122,117,154,112,101,106,112,0,"1,526"
Swampscott,02910000,54,148,165,158,158,165,192,171,160,199,163,184,177,155,1,"2,250"
Swansea,02920000,59,153,148,188,173,150,177,166,172,174,130,133,129,143,0,"2,095"
Tantasqua,07700000,0,0,0,0,0,0,0,0,282,264,311,377,283,272,6,"1,795"
Taunton,02930000,267,613,632,655,655,611,689,635,633,643,490,485,469,420,13,"7,910"
TEC Connections Academy Commonwealth Virtual School District,39020000,0,8,9,14,11,13,14,34,30,40,97,67,45,13,0,395
Tewksbury,02950000,92,234,261,262,275,274,304,296,316,340,241,275,247,233,8,"3,658"
The Sizer School: A North Central Charter Essential (District),04740000,0,0,0,0,0,0,0,0,71,79,71,70,37,39,0,367
Tisbury,02960000,5,37,40,41,35,37,34,38,34,30,0,0,0,0,0,331
Topsfield,02980000,37,79,86,68,76,86,95,86,0,0,0,0,0,0,0,613
Tri County Regional Vocational Technical,08780000,0,0,0,0,0,0,0,0,0,0,250,274,245,248,0,"1,017"
Triton,07730000,132,175,195,205,185,235,211,210,238,231,190,184,171,185,6,"2,753"
Truro,03000000,20,12,15,18,19,17,18,9,0,0,0,0,0,0,0,128
Tyngsborough,03010000,80,103,134,110,115,142,142,128,158,146,121,121,131,135,0,"1,766"
UP Academy Charter School of Boston,04800000,0,0,0,0,0,0,0,165,139,164,0,0,0,0,0,468
UP Academy Charter School of Dorchester (District),35050000,58,62,96,104,102,74,79,50,0,0,0,0,0,0,0,625
Up-Island Regional,07740000,6,46,47,37,42,51,43,20,38,30,0,0,0,0,0,360
Upper Cape Cod Regional Vocational Technical,08790000,0,0,0,0,0,0,0,0,0,0,192,183,172,152,0,699
Uxbridge,03040000,115,141,127,136,144,131,132,164,142,162,128,135,121,101,8,"1,887"
Veritas Preparatory Charter School,04980000,0,0,0,0,0,0,85,85,76,0,0,0,0,0,0,246
Wachusett,07750000,148,421,507,542,577,584,579,631,594,651,505,525,563,508,11,"7,346"
Wakefield,03050000,98,228,250,250,226,244,284,293,296,240,270,237,253,266,4,"3,439"
Wales,03060000,21,16,21,22,23,22,20,21,0,0,0,0,0,0,0,166
Walpole,03070000,64,271,276,279,311,308,321,306,302,327,289,286,296,304,6,"3,946"
Waltham,03080000,162,452,469,459,432,380,375,360,370,356,393,379,348,317,2,"5,254"
Ware,03090000,52,90,101,115,107,102,97,114,104,96,75,75,59,50,4,"1,241"
Wareham,03100000,73,238,228,213,201,220,196,194,218,200,168,151,167,149,7,"2,623"
Watertown,03140000,53,223,199,207,184,191,163,221,165,185,160,171,173,189,0,"2,484"
Wayland,03150000,0,165,175,207,198,199,194,234,219,217,218,195,232,206,0,"2,659"
Webster,03160000,56,154,159,141,131,157,160,156,142,160,138,119,95,99,5,"1,872"
Wellesley,03170000,106,334,395,398,393,409,374,423,383,372,409,357,381,330,3,"5,067"
Wellfleet,03180000,11,14,9,30,12,17,25,0,0,0,0,0,0,0,0,118
West Boylston,03220000,29,56,67,67,57,84,80,77,80,82,74,52,59,67,2,933
West Bridgewater,03230000,56,72,92,89,81,85,102,98,100,116,100,101,111,105,0,"1,308"
West Springfield,03320000,102,304,313,303,288,293,273,293,301,299,339,290,288,279,12,"3,977"
Westborough,03210000,99,254,259,272,287,242,304,309,268,285,262,238,250,293,2,"3,624"
Westfield,03250000,176,367,394,408,422,392,418,416,441,406,512,455,417,445,27,"5,696"
Westford,03260000,105,271,328,330,345,421,378,445,433,449,399,405,411,419,0,"5,139"
