SCHOOL,ORG CODE,UG,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,13,14,TOTAL
Up-Island Regional - West Tisbury Elem,07740020,0,0,29,39,29,38,43,50,57,45,60,0,0,0,0,0,0,390
Uphams Corner Charter - Uphams Corner Charter School,04900305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Cape Cod Voc Tech - Upper Cape Cod Voc Tech,08790605,0,0,0,0,0,0,0,0,0,0,0,165,145,144,119,0,0,573
Uxbridge - Earl D Taft,03040005,0,0,0,185,183,164,200,129,0,0,0,0,0,0,0,0,0,861
Uxbridge - Uxbridge High,03040505,0,0,0,0,0,0,0,0,0,0,0,143,129,122,137,0,0,531
Uxbridge - Virgina A Blanchard,03040010,0,133,166,0,0,2,0,0,0,0,0,0,0,0,0,0,0,301
Uxbridge - Whitin Intermediate,03040015,0,0,0,0,0,0,0,75,215,183,185,0,0,0,0,0,0,658
Wachusett - Central Tree Middle,07750310,0,0,0,0,0,0,0,119,134,116,114,0,0,0,0,0,0,483
Wachusett - Chocksett Middle School,07750315,0,0,0,0,0,0,0,105,126,120,92,0,0,0,0,0,0,443
Wachusett - Davis Hill Elementary,07750018,0,0,64,76,65,86,73,95,0,0,0,0,0,0,0,0,0,459
Wachusett - Dawson,07750020,0,76,72,68,61,79,76,64,0,0,0,0,0,0,0,0,0,496
Wachusett - Houghton Elementary,07750027,0,0,98,118,96,102,128,0,0,0,0,0,0,0,0,0,0,542
Wachusett - Leroy E.Mayo,07750032,0,0,61,80,79,74,63,84,0,0,0,0,0,0,0,0,0,441
