orgcode,address,latitude,longitude
240025,"62 North Washington Street, Belchertown, MA 01007",42.2668876,-72.39922721
240018,"57 State Street, Belchertown, MA 01007",42.26828435,-72.41029355
250003,"338 Hartford Avenue, Bellingham, MA 02019",42.11295795,-71.47863712
250505,"60 Blackstone Street, Bellingham, MA 02019",42.07663562,-71.46976463
250315,"130 Blackstone Street, Bellingham, MA 02019",42.07550742,-71.47460093
250009,"60 Monique Dr, Bellingham, MA 02019",42.10848657,-71.47984069
250510,"80 Harpin Street, Bellingham, MA 02019",42.03370115,-71.48865125
250020,"70 Harpin Street, Bellingham, MA 02019",42.03458745,-71.48945021
250025,"342 Hartford Avenue, Bellingham, MA 02019",42.11295961,-71.47862646
260505,"221 Concord Avenue, Belmont, MA 02478",42.394535,-71.170745
260015,"90 White Street, Belmont, MA 02478",42.38592441,-71.18827972
260010,"266 School Street, Belmont, MA 02478",42.38862925,-71.16418813
260035,"121 Orchard Street, Belmont, MA 02478",42.39229125,-71.17210864
260005,"97 Waterhouse Rd, Belmont, MA 02478",42.3992884,-71.1642754
260305,"95 Washington Street, Belmont, MA 02478",42.38548735,-71.17114181
4200205,"21 Notre Dame Avenue, Cambridge, MA 02140",42.3921276,-71.1316899
4470205,"201 Main Street, Franklin, MA 02038",42.08978,-71.400933
35110205,"25 Memorial Drive, Salem, MA 01970",42.52874923,-70.87977819
270010,"59 South Main Street, Berkley, MA 02779",41.83488119,-71.08852788
270305,"21 North Main Street, Berkley, MA 02779",41.849001,-71.0845
4140305,"One Commercial Place, PO Box 267, Adams, MA 01220",,
6180505,"600 Stockbridge Road, Great Barrington, MA 01230",42.24989505,-73.32745589
6180310,"313 Monument Valley Rd, Great Barrington, MA 01230",42.24509395,-73.3312888
6180035,"318 Monumnet Valley Rd, Great Barrington, MA 01230",,
280005,"34 South Street, Berlin, MA 01503",42.359155,-71.6263839
6200505,"1001 Main Street, Boylston, MA 01505",42.37153575,-71.72137032
300055,"40 Woodland Avenue, Beverly, MA 01915",42.55272147,-70.89105227
300505,"100 Sohier Rd, Beverly, MA 01915",42.56768705,-70.87914326
300305,"7 Sohier Rd, Beverly, MA 01915",42.559761,-70.879677
300010,"17 Hull Street, Beverly, MA 01915",,
300015,"20 Eisenhower Avenue, Beverly, MA 01915",42.55523444,-70.85715007
300033,"41R Brimbal Avenue, Beverly, MA 01915",42.576173,-70.8800059
300040,"48 Putnam Street, Beverly, MA 01915",42.58026135,-70.87879276
310505,"35 River Street, Billerica, MA 01821",42.56106895,-71.27398678
310030,"121 Lexington Rd, Billerica, MA 01821",42.533433,-71.258285
310007,"10 Biagiotti Way, North Billerica, MA 01862",42.56470135,-71.29705639
310026,"59 Rogers Street, Billerica, MA 01862",42.58592478,-71.27767988
310012,"20 Kimbrough Rd, Billerica, MA 01821",42.56519821,-71.22814541
310310,"110 Allen Rd, Billerica, MA 01821",42.55075035,-71.24447859
310305,"15 Floyd Street, Billerica, MA 01821",,
310015,"52 River Street, Billerica, MA 01821",42.558066,-71.276199
310005,"39 Cook Street, Billerica, MA 01821",42.5382507,-71.22975209
8050605,"65 Pleasant Street, Upton, MA 01568",42.163381,-71.614843
6220015,"200 Lincoln Street, Blackstone, MA 01504",42.02822899,-71.54463964
6220505,"175 Lincoln Street, Blackstone, MA 01504",42.03063933,-71.5409
6220405,"35 Federal Street, Blackstone, MA 01504",42.02057411,-71.52524389
6220008,"200 Lincoln Street, Blackstone, MA 01504",42.02822899,-71.54463964
6220010,"122 Berthelette Way, Millville, MA 01529",42.03389067,-71.57569502
8060605,"800 Randolph Street, Canton, MA 02021",42.18150795,-71.10513095
350541,"20 Warren Street, Brighton, MA 02135",42.3496209,-71.1435137
350003,"121 Corey Road, Brighton, MA 02135",42.342249,-71.140466
350021,"5125 Washington Street, West Roxbury, MA 02132",42.26281365,-71.15577671
350390,"380 Shawmut Avenue, Boston, MA 02118",42.340955,-71.07241067
350548,"20 Church St, Back Bay, MA 02116",42.348939,-71.068254
350546,"174 Ipswich Street, Boston, MA 02215",42.34677945,-71.094952
350558,"655 Metropolitan Ave, Hyde Park, MA 02136",42.2630655,-71.11787887
350507,"100 Maxwell St, Dorchester, MA 02124",42.28163461,-71.08032583
350560,"78 Avenue Louis Pasteur, Boston, MA 02115",42.338626,-71.102063
350545,"205 Townsend Street, Dorchester, MA 02121",,
350413,"215 Dorchester Street, South Boston, MA 02127",42.33338849,-71.05024194
350012,"25 Walk Hill Street, Jamaica Plain, MA 02130",,
350505,"25 Warren Street, Brighton, MA 02135",42.3496209,-71.1435137
350036,"396 Northampton Street, Boston, MA 02118",42.34037125,-71.083091
350054,"1060 Morton Street, Mattapan, MA 02126",42.2810256,-71.0853244
350052,"15 Basile Street, Roslindale, MA 02131",42.28632056,-71.12626597
350515,"240 Medford Street, Charlestown, MA 02129",42.38039305,-71.0608755
350430,"28 Walker Street, Charlestown, MA 02129",42.3786933,-71.0674349
350518,"25 Glen Road, Jamaica Plain, MA 02130",42.30897447,-71.10317374
350581,"11 Charles Street, Dorchester, MA 02122",42.30068761,-71.06134561
