"grade","latlong","longitude","latitude","2005","2010","2015","stu_2015_2010","stu_2015_2005","stu_2015_2010_abs","stu_2015_2005_abs","name","address"
-1,"42.334 -71.038","-71.038","42.334",5,16,41,25,36,25,36,"Boston - Joseph P Tynan","650 E.  Fourth Street, South Boston, MA 02127"
-1,"42.338 -71.052","-71.052","42.338",66,62,73,11,7,11,7,"Boston - James Condon Elementary","200 D Street, South Boston, MA 02127"
-1,"42.339 -71.077","-71.077","42.339",6,27,29,2,23,2,23,"Boston - Joseph J Hurley","70 Worcester Street, Boston, MA 02118"
-1,"42.340 -71.073","-71.073","42.340",41,60,72,12,31,12,31,"Boston - Blackstone","380 Shawmut Avenue, Boston, MA 02118"
-1,"42.341 -71.140","-71.140","42.341",89,63,69,6,-20,6,20,"Boston - Baldwin Early Learning Center","121 Corey Road, Brighton, MA 02135"
-1,"42.345 -71.160","-71.160","42.345",0,34,27,-7,27,7,27,"Boston - Thomas A Edison Jr High","60 Glenmont Road, Brighton, MA 02135"
-1,"42.347 -71.064","-71.064","42.347",30,36,44,8,14,8,14,"Boston - Josiah Quincy","885 Washington Street, Boston, MA 02111"
-1,"42.347 -71.154","-71.154","42.347",20,34,26,-8,6,8,6,"Boston - Winship Elementary","54 Dighton Street, Brighton, MA 02135"
-1,"42.351 -71.137","-71.137","42.351",22,44,60,16,38,16,38,"Boston - Horace Mann School for the Deaf","40 Armington  Street, Allston, MA 02134"
-1,"42.352 -71.120","-71.120","42.352",0,0,53,53,53,53,53,"Media and Technology Charter - Media and Technology Charter School","1001 Commonwealth Avenue, Boston, MA 02215"
-1,"42.360 -71.133","-71.133","42.360",0,20,9,-11,9,11,9,"Boston - Thomas Gardner","30 Athol Street, Allston, MA 02134"
-1,"42.365 -71.034","-71.034","42.365",4,44,45,1,41,1,41,"Boston - Samuel Adams","165 Webster Street, East Boston, MA 02128"
-1,"42.366 -71.053","-71.053","42.366",0,29,35,6,35,6,35,"Boston - Eliot Elementary","16 Charter Street, Boston, MA 02113"
-1,"42.375 -71.033","-71.033","42.375",0,30,41,11,41,11,41,"Boston - James Otis","218 Marion Street, East Boston, MA 02128"
-1,"42.376 -71.057","-71.057","42.376",5,37,28,-9,23,9,23,"Boston - Harvard-Kent","50 Bunker Hill Street, Charlestown, MA 02129"
-1,"42.378 -71.030","-71.030","42.378",0,25,30,5,30,5,30,"Boston - Patrick J Kennedy","343 Saratoga Street, East Boston, MA 02128"
-1,"42.378 -71.038","-71.038","42.378",0,22,20,-2,20,2,20,"Boston - Hugh Roe ODonnell","33 Trenton Street, East Boston, MA 02128"
-1,"42.378 -71.064","-71.064","42.378",0,3,4,1,4,1,4,"Boston - Warren-Prescott","50 School Street, Charlestown, MA 02129"
-1,"42.388 -71.004","-71.004","42.388",0,0,20,20,20,20,20,"Boston - Curtis Guild","195 Leyden Street, East Boston, MA 02128"
-1,"42.391 -71.005","-71.005","42.391",22,27,43,16,21,16,21,"Boston - Manassah E Bradley","110 Beachview Road, East Boston, MA 02128"
-1,"42.391 -71.027","-71.027","42.391",62,59,74,15,12,15,12,"Boston - East Boston Early Childhood Center","135 Grove Street, East Boston, MA 02128"
-1,"42.392 -71.031","-71.031","42.392",0,0,26,26,26,26,26,"Boston - Dante Alighieri","37 Grove Street, East Boston, MA 02128"
0,"42.242 -71.123","-71.123","42.242",42,42,42,0,0,0,0,"Boston - Franklin D Roosevelt","95 Needham Road, Hyde Park, MA 02136"
0,"42.250 -71.126","-71.126","42.250",282,354,116,-238,-166,238,166,"Boston Renaissance Charter Public (District) - Boston Renaissance Charter  Public School","1415 Hyde Park Ave, Hyde Park, MA 02136"
0,"42.251 -71.133","-71.133","42.251",40,45,31,-14,-9,14,9,"Boston - William Ellery Channing","35 Sunnyside Street, Hyde Park, MA 02136"
0,"42.256 -71.126","-71.126","42.256",39,43,55,12,16,12,16,"Boston - Henry Grew","40 Gordon Avenue, Hyde Park, MA 02136"
0,"42.261 -71.148","-71.148","42.261",73,44,0,-44,-73,44,73,"Boston - William H Ohrenberger","175 West  Boundary Road, West Roxbury, MA 02132"
0,"42.263 -71.155","-71.155","42.263",43,46,93,47,50,47,50,"Boston - Beethoven","5125 Washington Street, West Roxbury, MA 02132"
0,"42.265 -71.117","-71.117","42.265",56,40,51,11,-5,11,5,"Boston - Elihu Greenwood Leadership Academy","612 Metropolitan Avenue, Hyde Park, MA 02136"
0,"42.267 -71.105","-71.105","42.267",43,43,37,-6,-6,6,6,"Boston - James J Chittick","154 Ruskindale Road, Mattapan, MA 02126"
0,"42.271 -71.092","-71.092","42.271",61,31,38,7,-23,7,23,"Boston - Dr. Catherine Ellison-Rosa Parks Early Ed School","108 Babson Street, Mattapan, MA 02126"
0,"42.271 -71.163","-71.163","42.271",44,44,46,2,2,2,2,"Boston - Joyce Kilmer","35 Baker Street, West Roxbury, MA 02132"
0,"42.274 -71.106","-71.106","42.274",75,66,100,34,25,34,25,"Boston - Mattahunt","100 Hebron Street, Mattapan, MA 02126"
0,"42.274 -71.127","-71.127","42.274",29,31,19,-12,-10,12,10,"Boston - George H Conley","450 Poplar Street, Roslindale, MA 02131"
0,"42.275 -71.091","-71.091","42.275",0,0,42,42,42,42,42,"Boston - Mildred Avenue K-8","5 Mildred Avenue, Mattapan, MA 02126"
0,"42.276 -71.066","-71.066","42.276",23,26,52,26,29,26,29,"Conservatory Lab Charter - Conservatory Lab Charter School","2120 Dorchester Avenue, Dorchester, MA 02124"
0,"42.277 -71.077","-71.077","42.277",59,76,110,34,51,34,51,"Boston - Charles H Taylor","1060 Morton Street, Mattapan, MA 02126"
0,"42.277 -71.135","-71.135","42.277",42,44,34,-10,-8,10,8,"Boston - Phineas Bates","426 Beech Street, Roslindale, MA 02131"
