"name","org.code","year","students","grade","maxgrade","address","latitude","longitude","zip","boston","charter","charter.alt","boston2"
"BOSTON - JACKSON MANN",350013,"2000","7",-1,,"40 Armington Street, Allston, MA 02134",42.351989,-71.137687,2134,TRUE,FALSE,FALSE,TRUE
"BOSTON - JAMES CONDON ELEM",350146,"2000","61",-1,,"200 D Street, South Boston, MA 02127",42.33834839,-71.05284882,2127,TRUE,FALSE,FALSE,TRUE
"BOSTON - JOHN P HOLLAND",350167,"2000","1",-1,,"85 Olney Street, Dorchester, MA 02121",42.30607986,-71.07362366,2121,TRUE,FALSE,FALSE,TRUE
"BOSTON - JOHN WINTHROP",350180,"2000","25",-1,,"35 Brookford Street, Dorchester, MA 02125",42.31838509,-71.07556365,2125,TRUE,FALSE,FALSE,TRUE
"BOSTON - JOSEPH LEE",350183,"2000","30",-1,,"155 Talbot Avenue, Dorchester, MA 02124",42.29253732,-71.0800463,2124,TRUE,FALSE,FALSE,TRUE
"BOSTON - JOSEPH P TYNAN",350181,"2000","8",-1,,"650 E.  Fourth Street, South Boston, MA 02127",42.33478747,-71.03828095,2127,TRUE,FALSE,FALSE,TRUE
"BOSTON - JOSIAH QUINCY",350286,"2000","9",-1,,"885 Washington Street, Boston, MA 02111",42.34798813,-71.06498718,2111,TRUE,FALSE,FALSE,TRUE
"BOSTON - MANASSAH E BRADLEY",350215,"2000","21",-1,,"110 Beachview Road, East Boston, MA 02128",42.39142835,-71.00563981,2128,TRUE,FALSE,FALSE,TRUE
"BOSTON - MATTAHUNT",350226,"2000","55",-1,,"100 Hebron Street, Mattapan, MA 02126",42.27426142,-71.10606708,2126,TRUE,FALSE,FALSE,TRUE
"BOSTON - MATTAPAN ECC",350008,"2000","67",-1,,"108 Babson Street, Mattapan, MA 02126",42.27180116,-71.09209344,2126,TRUE,FALSE,FALSE,TRUE
"BOSTON - MOZART",350237,"2000","24",-1,,"236 Beech Street, Roslindale, MA 02131",42.28120422,-71.14104462,2131,TRUE,FALSE,FALSE,TRUE
"BOSTON - O W HOLMES",350138,"2000","21",-1,,"40 School Street, Dorchester, MA 02124",42.2966783,-71.0749007,2124,TRUE,FALSE,FALSE,TRUE
"BOSTON - PATRICK O'HEARN",350266,"2000","45",-1,,"1669 Dorchester Avenue, Dorchester, MA 02122",42.29376376,-71.06213249,2122,TRUE,FALSE,FALSE,TRUE
